Farm_ID,Year ,Plot_ID,FreshHead_biomass ,Plant_damage,FleaBeetles_abundance,FleaBeetles_incidence,Lepidoptera_abundance,Lepidoptera_incidence,Aphid_incidence,ParasitoidHostRatio,nat_250,ag_250,mead_250,nat_500,ag_500,mead_500,nat_1000,ag_1000,mead_1000
A,2015,1,80.76923077,13.30687831,0.2,0,0.266666667,0.133333333,0.033333333,0.526519337,0.150485437,0.349514563,0.5,0.178832117,0.298053528,0.523114355,0.251608949,0.375727858,0.342016549
A,2015,2,449.5384615,17.33333333,1.466666667,0,0.933333333,0.266666667,0.166666667,0.499715909,0.426470588,0.294117647,0.279411765,0.34137931,0.286206897,0.365517241,0.202360877,0.571669477,0.207419899
B,2015,3,0,15.68518519,1,0,0.433333333,0.5,0.133333333,0.2834,0.005025126,0.703517588,0.286432161,0.147420147,0.56019656,0.259213759,0.214418317,0.443997525,0.274133663
B,2015,4,0,14.73333333,0.8,0,0.466666667,0.466666667,0.166666667,0.080188679,0,0.798319328,0.193277311,0.235772358,0.62601626,0.105691057,0.348979592,0.234693878,0.4
C,2015,5,1151.583333,20.33333333,7.133333333,0.1,1.233333333,0.6,0.1,0.371681416,0.165,0.52,0.27,0.216049383,0.52345679,0.209876543,0.329829985,0.331993818,0.283462133
C,2015,6,935.9166667,20.5,4.8,0.1,1.233333333,0.666666667,0.1,0.130769231,0.347826087,0.268115942,0.253623188,0.343971631,0.177304965,0.372340426,0.379549393,0.33102253,0.268630849
D,2015,7,,,0.883333333,,,,,,0,0,0.045454545,0.039751553,0.007453416,0.063354037,0.144049459,0.017001546,0.070788253
D,2015,8,344.7692308,24.5,0.8,0.033333333,0.766666667,0.533333333,0.433333333,0.182352941,0.110091743,0.04587156,0.293577982,0.163636364,0.059090909,0.127272727,0.221709007,0.127020785,0.203233256
E,2015,9,1382.153846,15.72916667,1.466666667,0,0.433333333,0.3,0.433333333,0.179411765,0.505050505,0.171717172,0.181818182,0.444857497,0.325898389,0.157372986,0.545482673,0.280940594,0.135210396
E,2015,10,893.5384615,18.71428571,5.2,0.266666667,0.933333333,0.433333333,0.1,0.054773869,0.647482014,0.316546763,0.035971223,0.763888889,0.232638889,0.003472222,0.869491525,0.020338983,0.084745763
F,2015,11,623.1538462,19.16666667,2,0,0.637037037,0.333333333,0.6,0.245,0.040201005,0.582914573,0.376884422,0.317617866,0.358560794,0.282878412,0.398700897,0.305907826,0.263532323
F,2015,12,1039,9.446428571,2.266666667,0.1,0.366666667,0.266666667,0.566666667,0.428070175,0.088235294,0.529411765,0.382352941,0.314285714,0.085714286,0.5,0.121428571,0.346428571,0.507142857
G,2015,13,2328.538462,3.862433862,0.2,0,0.078703704,0.066666667,0.157407407,0.51,0,0.831683168,0.123762376,0.017177914,0.72392638,0.202453988,0.228054021,0.464395335,0.247697974
G,2015,14,1200.307692,3.220238095,0.4,0,0.041666667,0.066666667,0.078703704,,0.159793814,0.572164948,0.159793814,0.282167043,0.442437923,0.205417607,0.176728869,0.287596048,0.504939627
H,2015,15,495.9166667,8.319444444,1.066666667,0.041666667,0.083333333,0.133333333,0.416666667,0.247,0.138613861,0.386138614,0.366336634,0.214723926,0.428220859,0.296932515,0.302518428,0.349815725,0.283783784
H,2015,16,0,21.95,0.333333333,0,0,0.1,0.375,,0.092307692,0.692307692,0.2,0.204545455,0.651515152,0.143939394,0.305970149,0.376865672,0.111940298
I,2015,17,932.8333333,8.09537037,0.666666667,0.033333333,2.066666667,,0.611111111,,0.024271845,0.631067961,0.063106796,0.165228113,0.641183724,0.045622688,0.272488164,0.427669648,0.21094161
J,2015,19,316.6153846,22,12.46666667,0.1,0.166666667,0.166666667,0.533333333,0.62,0.18226601,0.517241379,0.300492611,0.364417178,0.212269939,0.379141104,0.31510658,0.307692308,0.30583874
J,2015,20,485.3846154,19.58333333,8.2,0.208333333,0.2,0.233333333,0.583333333,0.66259542,0.285714286,0,0.714285714,0.462809917,0.041322314,0.413223141,0.163346614,0.370517928,0.418326693
K,2015,21,584.9230769,26.9375,0.866666667,0,1.125,0.7,0.233333333,0.250553097,0.480392157,0.156862745,0.362745098,0.501845018,0.178351784,0.286592866,0.544444444,0.180555556,0.245061728
K,2015,22,586.6153846,29.83333333,9.833333333,0.366666667,0.8,0.4,0.7,0.557971014,0.326666667,0.18,0.486666667,0.156050955,0.277070064,0.522292994,0.210031348,0.319749216,0.39968652
L,2014,23,614.011,17.175,1,0,,0.1,0.1,,0,0.769230769,0.230769231,0.010273973,0.674657534,0.25913242,0.06287683,0.55211025,0.335917313
L,2014,24,467.715,23.79166667,1.066666667,0.633333333,,0.166666667,0.033333333,,0,0.900452489,0.099547511,0.050228311,0.807077626,0.142694064,0.058283089,0.620442148,0.274763135
G,2014,25,1025.332222,12.175,1.35,0.166666667,,0.066666667,0,,0.013574661,0.760180995,0.226244344,0.076484018,0.579908676,0.289954338,0.199540626,0.416307781,0.326155613
G,2014,26,288.845,53.75,1.977777778,0.3,,0.133333333,0,,0.054298643,0.343891403,0.533936652,0.163242009,0.331050228,0.470319635,0.150445019,0.40913006,0.370657479
A,2014,27,188.754,37.875,10.86666667,0.733333333,,0.033333333,0.3,,0.081447964,0.20361991,0.714932127,0.140410959,0.189497717,0.670091324,0.218776916,0.318116566,0.434395636
A,2014,28,40.792,35.125,3.666666667,0.333333333,,0.033333333,0.1,,0.185520362,0.280542986,0.529411765,0.206621005,0.29109589,0.492009132,0.236577663,0.310364628,0.440424921
M,2014,29,941.27,21,4.088888889,0.233333333,,0.066666667,0,,0.053398058,0.538834951,0.349514563,0.261933905,0.541003672,0.1750306,0.389757743,0.444035572,0.141980987
M ,2014,30,601.1444444,17.95,0.8,0.033333333,,0.033333333,0,,0.339805825,0.538834951,0.262135922,0.35495716,0.379436965,0.230110159,0.353879178,0.464581417,0.156700399
B,2014,31,0,51.875,7.6,0.4,,0.166666667,0,,0,0.642533937,0.357466063,0.105022831,0.51369863,0.351598174,0.17967853,0.370551091,0.383467279
B,2014,32,138.629,25.625,2,0.233333333,,0.066666667,0,,0.004524887,0.65158371,0.334841629,0.091324201,0.567351598,0.310502283,0.202640643,0.331228473,0.436567164
C,2014,33,379.782,20.325,6.8,0.533333333,,0.233333333,0.4,,0.085972851,0.34841629,0.561085973,0.141057935,0.326196474,0.487405542,0.136926148,0.299001996,0.522155689
C,2014,34,618.751,22.825,6.844444444,0.533333333,,0.033333333,0.566666667,,0.178010471,0.230366492,0.518324607,0.184563758,0.246644295,0.523489933,0.113262343,0.306873185,0.538238141
D,2014,35,958.808,16.525,1.266666667,0.3,,0.266666667,0.066666667,,0.045248869,0.045248869,0.239819005,0.061643836,0.03652968,0.159817352,0.118001723,0.044214757,0.131495837
D ,2014,36,171.484,23.35,1.888888889,0.233333333,,0.266666667,0,,0,0.022624434,0.054298643,0.028538813,0.019406393,0.075342466,0.117140396,0.022107379,0.097042779
J,2014,37,994.714,28.11111111,8.466666667,0.633333333,,0.033333333,0.033333333,,0.303167421,0.457013575,0.239819005,0.449541284,0.294724771,0.236238532,0.23986195,0.301121657,0.387115329
J ,2014,38,274.703,33.375,5.933333333,0.566666667,,0.033333333,0.1,,0.045248869,0.561085973,0.334841629,0.230504587,0.410550459,0.292431193,0.282508631,0.318181818,0.329401611
N,2014,39,474.754,29.5,7.333333333,0.666666667,,0.1,0.066666667,,0.063348416,0.253393665,0.488687783,0.117714286,0.324571429,0.366857143,0.198392191,0.23255814,0.285099053
N ,2014,40,770.802,16.7,2.533333333,0.8,,0.2,0.1,,0.185520362,0.43438914,0.266968326,0.234285714,0.405714286,0.305142857,0.222509331,0.252081539,0.273901809
K,2014,41,326.11,41.875,3.288888889,0.533333333,,0.033333333,0.133333333,,0.380090498,0.095022624,0.524886878,0.344393593,0.185354691,0.432494279,0.422337066,0.188056273,0.361182888
K,2014,42,626.09,33,8.5,0.666666667,,0.1,0.1,,0.113122172,0.271493213,0.610859729,0.155606407,0.33409611,0.506864989,0.381854723,0.230261269,0.350559862
E,2014,43,737.746,14.725,1.533333333,0.3,,0,0.1,,0.402714932,0.131221719,0.321266968,0.342465753,0.220319635,0.365296804,0.479322229,0.187535899,0.293509477
E ,2014,44,307.767,22.75,3.533333333,0.433333333,,0.033333333,0.033333333,,0.529411765,0.28959276,0.180995475,0.544520548,0.205479452,0.194063927,0.531016657,0.158816772,0.269672602
